doc_id,expected,pattern,classification,confidence,time_seconds,llm_calls,correct
DOC_A,PRIVILEGED,Chaining,PRIVILEGED,95,2.87,3,✓
DOC_A,PRIVILEGED,Routing,PRIVILEGED,95,1.27,2,✓
DOC_A,PRIVILEGED,Parallelization,UNCERTAIN,0,11.87,2,✗
DOC_A,PRIVILEGED,Orchestrator,PRIVILEGED,95,5.59,3,✓
DOC_A,PRIVILEGED,Evaluator,PRIVILEGED,85,5.19,3,✓
DOC_B,NOT_PRIVILEGED,Chaining,NOT_PRIVILEGED,100,1.78,3,✓
DOC_B,NOT_PRIVILEGED,Routing,NOT_PRIVILEGED,85,1.09,2,✓
DOC_B,NOT_PRIVILEGED,Parallelization,UNCERTAIN,0,6.78,2,✗
DOC_B,NOT_PRIVILEGED,Orchestrator,PRIVILEGED,85,3.77,3,✗
DOC_B,NOT_PRIVILEGED,Evaluator,NOT_PRIVILEGED,85,4.17,3,✓
DOC_C,UNCERTAIN/WAIVER,Chaining,PRIVILEGED,95,1.78,3,✗
DOC_C,UNCERTAIN/WAIVER,Routing,PRIVILEGED,95,1.43,2,✗
DOC_C,UNCERTAIN/WAIVER,Parallelization,UNCERTAIN,0,5.05,2,✓
DOC_C,UNCERTAIN/WAIVER,Orchestrator,PRIVILEGED,95,3.77,3,✗
DOC_C,UNCERTAIN/WAIVER,Evaluator,UNCERTAIN,65,5.02,3,✓
